Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
1,Intermediate School 7,1367,StatenIsland,IRVINGTON STREET,EDITH AVENUE,HYLAN BOULEVARD,approvedFull,"mon,tue,wed,thu,fri",07:45,16:00,07:45,16:00,07:45,16:00,07:45,16:00,07:45,16:00,,,,,2021-07-01T00:00:00,658.299332641,08/30/2021 12:00:00 AM,,"MULTILINESTRING ((-74.18722011346205 40.5235949483833, -74.18608648464662 40.52200858104453))"
2,Van Duzer St Area Civic Association Inc,8698,StatenIsland,WATER STREET,CANAL STREET,BAY STREET,approvedFull,sat,,,,,,,,,,,11:00,17:00,,,2021-09-04T00:00:00,121.898711189,10/02/2021 12:00:00 AM,no,"MULTILINESTRING ((-74.07594575656277 40.62718223537173, -74.07638336837448 40.627154326500154))"
3,Dimtrios and Georgia Kaloidis School,9213,Brooklyn,RIDGE BOULEVARD,85th STREET,86th STREET,approvedFull,"mon,tue,wed,thu,fri",09:30,14:00,09:00,14:00,09:30,14:00,09:30,14:00,09:30,14:00,,,,,2021-10-04T00:00:00,330.824058696,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((-74.03339425677055 40.62498326882555, -74.03374502048824 40.62411544757894))"
4,Bay Ridge 5th Avenue Business Improvement District,9432,Brooklyn,5th AVENUE,81st STREET,82 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-09-24T00:00:00,278.018327813,10/29/2021 12:00:00 AM,no,"MULTILINESTRING ((-74.02445178772733 40.62506492301302, -74.0247533260791 40.624337229132365))"
5,Bay Ridge 5th Avenue BID,9448,Brooklyn,5 AVENUE,BAY RIDGE PARKWAY,77 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,299.594045876,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((-74.02264081982965 40.62950276010326, -74.02296243485172 40.62871779335296))"
6,Van Duzer Street Civic Association,8610,StatenIsland,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,approvedFull,sat,,,,,,,,,,,11:00,17:00,,,2021-06-05T00:00:00,309.879760948,08/28/2021 12:00:00 AM,,"MULTILINESTRING ((-74.07972785662155 40.628967163299926, -74.08038282349433 40.6282783757173))"
7,"Public School 48, The Mapleton School",11269,Brooklyn,61 STREET,18th AVENUE,19th AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,,,,,2021-10-15T00:00:00,764.348611293,06/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((-73.98785382999839 40.62145150947404, -73.98569645090477 40.62014799285593))"
8,Bay Ridge Prep School,9303,Brooklyn,RIDGE BOULEVARD,81st STREET,82nd STREET,approvedFull,"mon,tue,wed,thu,fri",08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,,,,,2021-09-06T00:00:00,278.62681703,06/30/2022 12:00:00 AM,,"MULTILINESTRING ((-74.03225944213273 40.62775676790739, -74.03255779547757 40.627026560199795))"
9,Bay Ridge 5th Avenue BID,9429,Brooklyn,5 AVENUE,82 STREET,84 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.411929139,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((-74.02505024477007 40.62360565326729, -74.0253477627402 40.622875869381645))"
10,Bay Ridge 5th Avenue BID,9430,Brooklyn,5 AVENUE,82 STREET,84 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.986031572,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((-74.0247533260791 40.624337229132365, -74.02505024477007 40.62360565326729))"
11,Bay Ridge 5th Avenue BID,9435,Brooklyn,5 AVENUE,78 STREET,80 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,280.114665224,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((-74.02385619198535 40.626530951724995, -74.02415633350466 40.62579689223777))"
12,Bay Ridge 5th Avenue BID,9436,Brooklyn,5 AVENUE,78 STREET,80 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,277.726339036,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((-74.02355965725887 40.62725900136183, -74.02385619198535 40.626530951724995))"
